Numéro;Petite région agricole;Région agricole SAFER;Région agricole MdA;Vieille Région agricole MdA;code pra;code safer;code minister;code insee
09;Coteaux de l’Ariège;Coteaux de l’Ariège;Coteaux de l'Ariège;Coteaux de l'Ariège;pra50;ra25;ram25;9392
09;Plaine de l’Ariège;Plaine de l’Ariège;Plaine de l'Ariège;Plaine de l'Ariège;pra51;ra26;ram26;9390
09;Région pyrénéenne;Région pyrénéenne;Région pyrénéenne;Région pyrénéenne;pra52;ra27;ram27;9472
09;Région sous-pyrénéenne;Région sous-pyrénéenne;Région sous-pyrénéenne;Région sous-pyrénéenne;pra53;ra28;ram28;9393
10;Champagne crayeuse;Champagne crayeuse, Nogentais;Champagne crayeuse, Nogentais;Champagne crayeuse;pra54;ra29;ram29;10317
10;Champagne humide;Champagne humide, Plaine de Brienne;Champagne humide, Plaine de Brienne;Champagne humide;pra55;ra30;ram30;10318
10;Nogentais;Champagne crayeuse, Nogentais;Champagne crayeuse, Nogentais;Nogentais;pra56;ra29;ram29;10335
10;Pays d’Othe;Plaine de Troyes, Pays d’Othe;Plaine de Troyes, Pays d’Othe;Pays d’Othe;pra57;ra31;ram31;10319
10;Plaine de Brienne;Champagne humide, Plaine de Brienne;Champagne humide, Plaine de Brienne;Plaine de Brienne;pra58;ra30;ram31;10014
10;Plaine de Troyes;Plaine de Troyes, Pays d’Othe;Plaine de Troyes, Pays d’Othe;Plaine de Troyes;pra59;ra31;ram31;10015
10;Vallée de la Champagne crayeuse;Champagne crayeuse, Nogentais;Champagne crayeuse, Nogentais;Vallée de la Champagne crayeuse;pra60;ra29;ram31;10013
10;Vallée de la Champagne humide;Champagne humide, Plaine de Brienne;Champagne humide, Plaine de Brienne;Vallée de la Champagne humide;pra61;ra30;ram30;10020
10;Vallée du Nogentais;Champagne crayeuse, Nogentais;Champagne crayeuse, Nogentais;Vallée du Nogentais;pra62;ra29;ram29;10019
10;Vignoble du Barrois;Vignoble du Barrois;Vignoble du Barrois;Vignoble du Barrois;pra63;ra32;ram32;10011
11;Lauragais;Montagne noire, Lauragais, Région viticole;Montagne noire, Lauragais, région viticole;Lauragais;pra64;ra33;ram33;11391
11;Montagne noire;Montagne noire, Lauragais, Région viticole;Montagne noire, Lauragais, région viticole;Montagne noire;pra65;ra33;ram33;11413
11;Narbonnais;Narbonnais;Narbonnais;Narbonnais;pra66;ra34;ram34;11471
11;Pays de Sault;Razès, Pays de Sault;Razès, Pays de Sault;Pays de Sault;pra67;ra35;ram35;11472
11;Razès;Razès, Pays de Sault;Razès, Pays de Sault;Razès;pra68;ra35;ram35;11392
11;Région viticole;Montagne noire, Lauragais, Région viticole;Montagne noire, Lauragais, région viticole;Région viticole;pra69;ra33;ram33;11470
12;Aubrac;Nord Aveyron;Nord Aveyron;Aubrac;pra70;ra36;ram36;12419
12;Bas-Quercy;Bas-Quercy;Bas-Quercy;Bas-Quercy;pra71;ra37;ram37;12397
12;Grands Causses;Lévezou, Grands Causses, Monts de Lacaune;Lévezou, Grands Causses, Monts de Lacaune;Grands Causses;pra72;ra38;ram38;12411
12;Lévezou;Lévezou, Grands Causses, Monts de Lacaune;Lévezou, Grands Causses, Monts de Lacaune;Lévezou;pra73;ra38;ram38;12162
12;Monts de Lacaune;Lévezou, Grands Causses, Monts de Lacaune;Lévezou, Grands Causses, Monts de Lacaune;Monts de Lacaune;pra74;ra38;ram38;12412
12;Rougier de Marcillac;Nord Aveyron;Nord Aveyron;Rougier de Marcillac;pra75;ra36;ram36;12161
12;Ségala;Ségala;Ségala;Ségala;pra76;ra39;ram39;12409
12;Viadène et Vallée du Lot;Nord Aveyron;Nord Aveyron;Viadène et Vallée du Lot;pra77;ra36;ram36;12407
13;Basse-vallée de la Durance;Basse-vallée de la Durance;Basse vallée de la Durance;Basse-vallée de la Durance;pra78;ra40;ram40;13466
13;Camargue;Camargue, Crau, Littoral de Provence;Camargue, Crau, littoral de Provence;Camargue;pra79;ra41;ram41;13244
13;Comtat;Comtat;Comtat;Comtat;pra80;ra42;ram42;13467
13;Coteaux de Provence;Coteaux de Provence;Coteaux de Provence;Coteaux de Provence;pra81;ra43;ram43;13468
13;Crau;Camargue, Crau, Littoral de Provence;Camargue, Crau, littoral de Provence;Crau;pra82;ra41;ram41;13246
13;Littoral de Provence;Camargue, Crau, Littoral de Provence;Camargue, Crau, littoral de Provence;Littoral de Provence;pra83;ra41;ram41;13469
14;Bessin;Bessin;Bessin;Bessin;pra84;ra44;ram44;14085
14;Bocage;Bocage;Bocage;Bocage;pra85;ra45;ram45;14354
14;Pays d’Auge sud;Pays d’Auge sud;Pays d'Auge Sud;Pays d'Auge;pra86;ra46;ram46;14353
14;Pays d'Auge nord;Pays d'Auge nord;Pays d'Auge Nord;Pays d'Auge;pra87;ra47;ram47;14353
14;Plaine de Caen nord;Plaine de Caen nord;Plaine de Caen Nord;Plaine de Caen et de falaise;pra88;ra48;ram48;14355
14;Plaine de Caen sud;Plaine de Caen sud;Plaine de Caen Sud;Plaine de Caen et de falaise;pra89;ra49;ram49;14355
15;Artense;Cantal, Sud-Est limousin, Artense;Cantal, Sud-Est Limousin, Artense;Artense;pra90;ra50;ram50;15421
15;Aubrac;Massiac, Cézallier-Margeride, Aubrac et Planèze;Massiac, Cézallier-Margeride, Aubrac et Planèze;Aubrac;pra91;ra51;ram51;15419
15;Bassin d'Aurillac;Châtaigneraie, Bassin d'Aurillac;Châtaigneraie, bassin d'Aurillac;Bassin d'Aurillac;pra92;ra52;ram52;15163
15;Bassin de Massiac;Massiac, Cézallier-Margeride, Aubrac et Planèze;Massiac, Cézallier-Margeride, Aubrac et Planèze;Bassin de Massiac;pra93;ra51;ram51;15164
15;Cantal;Cantal, Sud-Est limousin, Artense;Cantal, Sud-Est Limousin, Artense;Cantal;pra94;ra50;ram50;15420
15;Cézallier;Massiac, Cézallier-Margeride, Aubrac et Planèze;Massiac, Cézallier-Margeride, Aubrac et Planèze;Cézallier;pra95;ra51;ram51;15417
15;Châtaigneraie;Châtaigneraie, Bassin d'Aurillac;Châtaigneraie, bassin d'Aurillac;Châtaigneraie;pra96;ra52;ram52;15409
15;Margeride;Massiac, Cézallier-Margeride, Aubrac et Planèze;Massiac, Cézallier-Margeride, Aubrac et Planèze;Margeride;pra97;ra51;ram51;15418
15;Planète de Saint-Flour;Massiac, Cézallier-Margeride, Aubrac et Planèze;Massiac, Cézallier-Margeride, Aubrac et Planèze;Planète de Saint-Flour;pra98;ra51;ram51;15167
15;Plateau du Sud-Est Limousin;Cantal, Sud-Est limousin, Artense;Cantal, Sud-Est Limousin, Artense;Plateau du Sud-Est Limousin;pra99;ra50;ram50;15433
16;Angoumois-Ruffecois;Angoumois-Ruffecois;Angoumois-Ruffecois;Angoumois-Ruffecois;pra100;ra53;ram53;16113
16;Brandes;Confolentais, Brandes;Confolentais, Brandes;Brandes;pra101;ra54;ram54;16438
16;Cognaçais;Cognaçais;Cognaçais;Cognaçais;pra102;ra55;ram55;16377
16;Confolentais;Confolentais, Brandes;Confolentais, Brandes;Confolentais;pra103;ra54;ram54;16432
16;Montmorélien;Montmorélien;Montmorélien;Montmorélien;pra104;ra56;ram56;16112
16;Plaine de la Mothe-Lezay;Angoumois-Ruffecois;Angoumois-Ruffecois;Plaine de la Mothe-Lezay;pra105;ra53;ram53;16367
16;Plaine de Niort-Brioux;Angoumois-Ruffecois;Angoumois-Ruffecois;Plaine de Niort-Brioux;pra106;ra53;ram53;16371
16;Saintonge agricole;Cognaçais;Cognaçais;Saintonge agricole;pra107;ra55;ram55;16375
16;Terres rouges à châtaigniers;Angoumois-Ruffecois;Angoumois-Ruffecois;Terres rouges à châtaigniers;pra108;ra53;ram53;16372
17;Aunis;Aunis;Aunis;Aunis;pra109;ra57;ram57;17374
17;Double saintongeaise;Double saintongeaise;Double saintongeaise;Double saintongeaise;pra110;ra58;ram58;17376
17;Marais de Rochefort et Marennes;Marais;Marais;Marais de Rochefort et Marennes;pra111;ra59;ram59;17111
17;Marais poitevin desséché;Marais;Marais;Marais poitevin desséché;pra112;ra59;ram59;17369
17;Saintonge agricole;Saintonge agricole;Saintonge agricole;Saintonge agricole;pra113;ra60;ram60;17375
17;Saintonge viticole;Saintonge viticole;Saintonge viticole;Saintonge viticole;pra114;ra61;ram61;17377
18;Boischaut;Boischaut, Marche;Boischaut, Marche;Boischaut;pra115;ra62;ram62;18436
18;Champagne berrichonne;Champagne berrichonne;Champagne berrichonne;Champagne berrichonne;pra116;ra63;ram63;18434
18;Marche;Boischaut, Marche;Boischaut, Marche;Marche;pra117;ra62;ram62;18437
18;Pays Fort et Sancerrois;Pays Fort et Sancerrois, Val de Loire;Pays Fort et Sancerrois, Val de Loire;Pays Fort et Sancerrois;pra118;ra64;ram64;18439
18;Sologne;Sologne;Sologne;Sologne;pra119;ra65;ram65;18343
18;Val de Loire;Pays Fort et Sancerrois, Val de Loire;Pays Fort et Sancerrois, Val de Loire;Val de Loire;pra120;ra64;ram64;18066
18;Vallée de Germigny;Vallée de Germigny;Vallée de Germigny;Vallée de Germigny;pra121;ra66;ram66;18179
19;Artense;Artense, Plateau de Millevaches;Artense, plateau de Millevaches;Artense;pra122;ra67;ram67;19421
19;Bas-pays de Brive;Causses, Bas-pays de Brive;Causses, bas pays de Brive;Bas-pays de Brive;pra123;ra68;ram68;19408
19;Cantal;Xaintrie, Cantal, Plateau sud-est;Xaintrie, Cantal, plateau Sud-Est;Cantal;pra124;ra69;ram69;19420
19;Causses;Causses, Bas-pays de Brive;Causses, bas pays de Brive;Causses;pra125;ra68;ram68;19394
19;Haut-Limousin;Haut-Limousin;Haut-Limousin;Haut-Limousin;pra126;ra70;ram70;19432
19;Périgord blanc;Causses, Bas-pays de Brive;Causses, bas pays de Brive;Périgord blanc;pra127;ra68;ram68;19403
19;Plateau de Millevaches;Artense, Plateau de Millevaches;Artense, plateau de Millevaches;Plateau de Millevaches;pra128;ra67;ram67;19430
19;Plateau du Sud-est Limousin;Xaintrie, Cantal, Plateau sud-est;Xaintrie, Cantal, plateau Sud-Est;Plateau du Sud-est Limousin;pra129;ra69;ram69;19433
19;Xaintrie;Xaintrie, Cantal, Plateau sud-est;Xaintrie, Cantal, plateau Sud-Est;Xaintrie;pra130;ra69;ram69;19409
21;Auxois;Morvan, Auxois;Morvan, Auxois;Auxois;pra131;ra71;ram71;21442
21;Côte viticole et arrière-côte de Bourgogne;Côte viticole et arrière-côte de Bourgogne;Côte et arrière-côte viticole de Bourgogne;Côte viticole et arrière-côte de Bourgogne;pra132;ra72;ram72;21441
21;La plaine;Vingeanne, La Plaine;Vingeanne, la plaine;La plaine;pra133;ra73;ram73;21440
21;La vallée;Plateau et vallées du Châtillonais;Plateau et vallée du Châtillonnais;La vallée;pra134;ra74;ram74;21322
21;Morvan;Morvan, Auxois;Morvan, Auxois;Morvan;pra135;ra71;ram71;21443
21;Plateau Langrois montagne;Plateau et vallées du Châtillonais;Plateau et vallée du Châtillonnais;Plateau Langrois montagne;pra136;ra74;ram74;21311
21;Tonnerois;Plateau et vallées du Châtillonais;Plateau et vallée du Châtillonnais;Tonnerois;pra137;ra74;ram74;21010
21;Val de Saône;Val de Saône;Val de Saône;Val de Saône;pra138;ra75;ram75;21204
21;Vingeanne;Vingeanne, La Plaine;Vingeanne, la plaine;Vingeanne;pra139;ra73;ram73;21312
22;Bretagne centrale;Bretagne centrale;Bretagne centrale;Bretagne centrale;pra140;ra76;ram76;22359
22;Landes des Monts d'Arrée et du Méné;Monts d’Arrée, Méné;Monts d'Arrée, Mené;Landes des Monts d'Arrée et du Méné;pra141;ra77;ram77;22360
22;Littoral breton nord;Littoral breton nord;Littoral breton Nord;Littoral breton nord;pra142;ra78;ram78;22358
22;Pénéplaine bretonne nord;Monts d’Arrée, Méné;Monts d'Arrée, Mené;Pénéplaine bretonne nord;pra143;ra77;ram77;22361
22;Région du Sud-Ouest;Région du Sud-Ouest;Région du Sud-Ouest;Région du Sud-Ouest;pra144;ra79;ram79;22362
23;Bas-Berry;Bas-Berry;Bas Berry;Bas-Berry;pra145;ra80;ram80;23437
23;Combraille bourbonnaise;Combraille bourbonnaise;Combraille bourbonnaise;Combraille bourbonnaise;pra146;ra81;ram81;23428
23;Haut-Limousin;Plateau de Millevaches, Haut-Limousin;Plateau de Millevaches, Haut-Limousin;Haut-Limousin;pra147;ra82;ram82;23432
23;Marche;Marche;Marche;Marche;pra148;ra83;ram83;23431
23;Plateau de Millevaches;Plateau de Millevaches, Haut-Limousin;Plateau de Millevaches, Haut-Limousin;Plateau de Millevaches;pra149;ra82;ram82;23430
24;Bergeracois;Bergeracois;Bergeracois;Bergeracois;pra150;ra84;ram84;24401
24;Causses;Périgord noir, Causses;Périgord noir, Causses;Causses;pra151;ra85;ram85;24394
24;Double périgourdine;Double périgourdine, Landais;Double périgourdine, Landais;Double périgourdine;pra152;ra86;ram86;24405
24;Landais;Double périgourdine, Landais;Double périgourdine, Landais;Landais;pra153;ra86;ram86;24406
24;Nontronnais;Nontronnais;Nontronnais;Nontronnais;pra154;ra87;ram87;24432
24;Périgord blanc;Périgord blanc;Périgord blanc;Périgord blanc;pra155;ra88;ram88;24403
24;Périgord noir;Périgord noir, Causses;Périgord noir, Causses;Périgord noir;pra156;ra85;ram85;24404
24;Ribéracois;Ribéracois;Ribéracois;Ribéracois;pra157;ra89;ram89;24158
25;Montagne du Jura;Plateaux supérieurs et montagne;Plateaux supérieurs et montagnes;Montagne du Jura;pra158;ra90;ram90;25449
25;Plateaux moyens du Jura;Plateaux moyens du Jura;Plateaux moyens du Jura;Plateaux moyens du Jura;pra159;ra91;ram91;25450
25;Plateaux supérieurs du Jura;Plateaux supérieurs et montagne;Plateaux supérieurs et montagnes;Plateaux supérieurs du Jura;pra160;ra90;ram90;25452
25;Zone des plaines et des basses-vallées;Zone des plaines et des basses-vallées;Zone des plaines et des basses vallées;Zone des plaines et des basses-vallées;pra161;ra92;ram92;25447
26;Baronnies;Baronnies;Baronnies;Baronnies;pra162;ra93;ram93;26463
26;Bochaine;Vercors et Diois;Vercors et Diois;Bochaine;pra163;ra94;ram94;26461
26;Diois;Vercors et Diois;Vercors et Diois;Diois;pra164;ra94;ram94;26234
26;Galaure et Herbasse;Valloire, Galaure et Herbasse;Valloire, Galaure et Herbasse;Galaure et Herbasse;pra165;ra95;ram95;26242
26;Pays de Bourdeaux;Vercors et Diois;Vercors et Diois;Pays de Bourdeaux;pra166;ra94;ram94;26243
26;Plaines rhodaniennes;Plaines rhodaniennes, Tricastin;Plaines rhodaniennes, Tricastin;Plaines rhodaniennes;pra167;ra96;ram96;26240
26;Région de Royans;Plaines rhodaniennes, Tricastin;Plaines rhodaniennes, Tricastin;Région de Royans;pra168;ra96;ram96;26221
26;Tricastin;Plaines rhodaniennes, Tricastin;Plaines rhodaniennes, Tricastin;Tricastin;pra169;ra96;ram96;26464
26;Valloire;Valloire, Galaure et Herbasse;Valloire, Galaure et Herbasse;Valloire;pra170;ra95;ram95;26241
26;Vercors;Vercors et Diois;Vercors et Diois;Vercors;pra171;ra94;ram94;26453
27;Lieuvin;Lieuvin, Pays d’Auge;Lieuvin, pays d'Auge;Lieuvin;pra172;ra97;ram97;27077
27;Marais Vernier;Roumois, Neubourg, Marais;Roumois, Neubourg, Marais;Marais Vernier;pra173;ra98;ram98;27051
27;Pays d’Auge;Lieuvin, Pays d’Auge;Lieuvin, pays d'Auge;Pays d’Auge;pra174;ra97;ram97;27353
27;Pays d’Ouche;Pays d’Ouche, Perche;Pays d'Ouche, Perche;Pays d’Ouche;pra175;ra99;ram99;27352
27;Pays de Lyons;Entre Madrie et Lyons;Entre Madrie et Lyons;Pays de Lyons;pra176;ra100;ram100;27050
27;Perche;Pays d’Ouche, Perche;Pays d'Ouche, Perche;Perche;pra177;ra99;ram99;27351
27;Plateau d’Evreux Saint-André;Plateau d’Evreux Saint-André;Plateau d'Evreux Saint-André;Plateau d’Evreux Saint-André;pra178;ra101;ram101;27079
27;Plateau de Madrie;Entre Madrie et Lyons;Entre Madrie et Lyons;Plateau de Madrie;pra179;ra100;ram100;27080
27;Plateau de Neubourg;Roumois, Neubourg, Marais;Roumois, Neubourg, Marais;Plateau de Neubourg;pra180;ra98;ram98;27078
27;Roumois;Roumois, Neubourg, Marais;Roumois, Neubourg, Marais;Roumois;pra181;ra98;ram98;27052
27;Vallée de la Seine;Entre Madrie et Lyons;Entre Madrie et Lyons;Vallée de la Seine;pra182;ra100;ram100;27332
27;Vexin bossu;Vexin normand, Vexin bossu;Vexin normand, Vexin bossu;Vexin bossu;pra183;ra102;ram102;27330
27;Vexin normand;Vexin normand, Vexin bossu;Vexin normand, Vexin bossu;Vexin normand;pra184;ra102;ram102;27044
28;Beauce;Beauce;Beauce;Beauce;pra185;ra103;ram103;28342
28;Beauce dunoise;Beauce dunoise;Beauce dunoise;Beauce dunoise;pra186;ra104;ram104;28341
28;Drouais Thimerais;Drouais Thimerais;Thymerais-Drouais;Drouais Thimerais;pra187;ra105;ram105;28334
28;Faux Perche;Faux Perche;Faux Perche;Faux Perche;pra188;ra106;ram106;28076
28;Perche;Perche;Perche;Perche;pra189;ra107;ram107;28351
29;Bassin de Châteaulin;Bassin de Châteaulin;Bassin de Châteaulin;Bassin de Châteaulin;pra190;ra108;ram108;29362
29;Littoral breton nord;Littoral breton nord;Littoral breton Nord;Littoral breton nord;pra191;ra109;ram109;29358
29;Monts d’Arrée;Monts d’Arrée;Monts d'Arrée;Monts d’Arrée;pra192;ra110;ram110;29360
29;Pénéplaine bretonne nord;Pourtour rade de Brest, Pénéplaine bretonne nord;Pourtour rade de Brest, pénéplaine bretonne Nord;Pénéplaine bretonne nord;pra193;ra111;ram111;29361
29;Pénéplaine bretonne sud;Pénéplaine bretonne sud;Pénéplaine bretonne Sud;Pénéplaine bretonne sud;pra194;ra112;ram112;29363
29;Presqu'île de Crozon;Pourtour rade de Brest, Pénéplaine bretonne nord;Pourtour rade de Brest, pénéplaine bretonne Nord;Presqu'île de Crozon;pra195;ra111;ram111;29102
29;Zone côtière de Brest;Pourtour rade de Brest, Pénéplaine bretonne nord;Pourtour rade de Brest, pénéplaine bretonne Nord;Zone côtière de Brest;pra196;ra111;ram111;29100
29;Zone de Plougastel-Daoulas;Pourtour rade de Brest, Pénéplaine bretonne nord;Pourtour rade de Brest, pénéplaine bretonne Nord;Zone de Plougastel-Daoulas;pra197;ra111;ram111;29101
29;Zone légumière de la pénéplaine sud;Pénéplaine bretonne sud;Pénéplaine bretonne Sud;Zone légumière de la pénéplaine sud;pra198;ra112;ram112;29103
30;Bas-Vivarais;Cévennes et Causses;Cévennes et Causses;Bas-Vivarais;pra199;ra113;ram113;30422
30;Causse noir;Cévennes et Causses;Cévennes et Causses;Causse noir;pra200;ra113;ram113;30411
30;Causses du Larzac;Cévennes et Causses;Cévennes et Causses;Causses du Larzac;pra201;ra113;ram113;30414
30;Cévennes;Cévennes et Causses;Cévennes et Causses;Cévennes;pra202;ra113;ram113;30410
30;Garrigues;Soubergues et Garrigues;Soubergues et Garrigues;Garrigues;pra203;ra114;ram114;30416
30;Plaine viticole;Plaine viticole;Plaine viticole;Plaine viticole;pra204;ra115;ram115;30471
30;Soubergues;Soubergues et Garrigues;Soubergues et Garrigues;Soubergues;pra205;ra114;ram114;30415
30;Vallée du Rhône;Vallée du Rhône;Vallée du Rhône;Vallée du Rhône;pra206;ra116;ram116;30465
31;Coteaux de Gascogne;Coteaux de Gascogne, Volvestre;Coteaux de Gascogne, Volvestre;Coteaux de Gascogne;pra207;ra117;ram117;31389
31;Coteaux du Gers;Coteaux du Gers;Coteaux du Gers;Coteaux du Gers;pra208;ra118;ram118;31385
31;La Rivière;La Rivière, Pyrénées centrales;La Rivière, Pyrénées centrales;La Rivière;pra209;ra119;ram119;31393
31;Lauragais;Lauragais;Lauragais;Lauragais;pra210;ra120;ram120;31391
31;Les Vallées;Les Vallées;Les Vallées;Les Vallées;pra211;ra121;ram121;31390
31;Pyrénées centrales;La Rivière, Pyrénées centrales;La Rivière, Pyrénées centrales;Pyrénées centrales;pra212;ra119;ram119;31472
31;Volvestre;Coteaux de Gascogne, Volvestre;Coteaux de Gascogne, Volvestre;Volvestre;pra213;ra117;ram117;31392
32;Astarac;Astarac;Astarac;Astarac;pra214;ra122;ram122;32383
32;Bas-Armagnac;Bas-Armagnac;Bas-Armagnac;Bas-Armagnac;pra215;ra123;ram123;32388
32;Coteaux du Gers;Coteaux du Gers;Coteaux du Gers;Coteaux du Gers;pra216;ra124;ram124;32385
32;Haut-Armagnac;Haut-Armagnac, Lomagne;Haut Armagnac, Lomagne;Haut-Armagnac;pra217;ra125;ram125;32147
32;Lomagne;Haut-Armagnac, Lomagne;Haut Armagnac, Lomagne;Lomagne;pra218;ra125;ram125;32384
32;Rivière basse;Vic-Bilh, Rivière basse;Vic Bilh, Rivière basse;Rivière basse;pra219;ra126;ram126;32387
32;Ténarèze;Ténarèze;Ténarèze;Ténarèze;pra220;ra127;ram127;32149
32;Vic-Bilh;Vic-Bilh, Rivière basse;Vic Bilh, Rivière basse;Vic-Bilh;pra221;ra126;ram126;32386
33;Bas-Médoc;Bas-Médoc;Bas-Médoc;Bas-Médoc;pra222;ra128;ram128;33115
33;Benauge;Entre-Deux-Mers;Entre-deux-Mers viticole;Benauge;pra223;ra129;ram129;33125
33;Benauge boisée;Entre-Deux-Mers;Entre-deux-Mers viticole;Benauge boisée;pra224;ra129;ram129;33124
33;Bergeracois;Entre-Deux-Mers;Entre-deux-Mers viticole;Bergeracois;pra225;ra129;ram129;33401
33;Blayais;Médoc, Libournais, Graves;Médoc, Libournais, Graves;Blayais;pra226;ra130;ram130;33117
33;Ceinture laitière et légumière de Bordeaux;Entre-Deux-Mers;Entre-deux-Mers viticole;Ceinture laitière et légumière de Bordeaux;pra227;ra129;ram129;33126
33;Côtes du Bordelais;Entre-Deux-Mers;Entre-deux-Mers viticole;Côtes du Bordelais;pra228;ra129;ram129;33128
33;Double périgourdine;Blayais et Double;Blayais et Double;Double périgourdine;pra229;ra131;ram131;33405
33;Entre-Deux-Mers viticole;Entre-Deux-Mers;Entre-deux-Mers viticole;Entre-Deux-Mers viticole;pra230;ra129;ram129;33121
33;Grandes Landes;Forêt et landes girondines;Forêt et landes girondines;Grandes Landes;pra231;ra132;ram132;33378
33;Graves;Médoc, Libournais, Graves;Médoc, Libournais, Graves;Graves;pra232;ra130;ram130;33129
33;Ilot de polyculture de Baron;Entre-Deux-Mers;Entre-deux-Mers viticole;Ilot de polyculture de Baron;pra233;ra129;ram129;33123
33;Ilot de polyculture de Civrac;Médoc, Libournais, Graves;Médoc, Libournais, Graves;Ilot de polyculture de Civrac;pra234;ra130;ram130;33116
33;Ilot de polyculture de Pujols;Entre-Deux-Mers;Entre-deux-Mers viticole;Ilot de polyculture de Pujols;pra235;ra129;ram129;33127
33;Landais;Médoc, Libournais, Graves;Médoc, Libournais, Graves;Landais;pra236;ra130;ram130;33406
33;Landes du Médoc;Forêt et landes girondines;Forêt et landes girondines;Landes du Médoc;pra237;ra132;ram132;33137
33;Libournais;Médoc, Libournais, Graves;Médoc, Libournais, Graves;Libournais;pra238;ra130;ram130;33118
33;Médoc;Médoc, Libournais, Graves;Médoc, Libournais, Graves;Médoc;pra239;ra130;ram130;33114
33;Ouest Entre-Deux-Mers;Entre-Deux-Mers;Entre-deux-Mers viticole;Ouest Entre-Deux-Mers;pra240;ra129;ram129;33122
33;Pays de Duras;Entre-Deux-Mers;Entre-deux-Mers viticole;Pays de Duras;pra241;ra129;ram129;33402
33;Petites landes de Villandraut;Forêt et landes girondines;Forêt et landes girondines;Petites landes de Villandraut;pra242;ra132;ram132;33135
33;Petites Landes du Bazadais;Bazadais;Bazadais;Petites Landes du Bazadais;pra243;ra133;ram133;33136
33;Région de polyculture de Saint-Ciers;Blayais et Double;Blayais et Double;Région de polyculture de Saint-Ciers;pra244;ra131;ram131;33120
33;Saintonge boisée;Blayais et Double;Blayais et Double;Saintonge boisée;pra245;ra131;ram131;33376
33;Vallée de la Garonne;Bazadais;Bazadais;Vallée de la Garonne;pra246;ra133;ram133;33119
33;Vallée de l'Isle;Médoc, Libournais, Graves;Médoc, Libournais, Graves;Vallée de l'Isle;pra247;ra130;ram130;33400
34;Causses du Larzac;Sommail, Espinouze, Larzac;Sommail, Espinouse, Larzac;Causses du Larzac;pra248;ra134;ram134;34414
34;Garrigues;Garrigues;Garrigues;Garrigues;pra249;ra135;ram135;34416
34;Minervois;Minervois;Minervois;Minervois;pra250;ra136;ram136;34470
34;Plaine viticole;Littoral languedocien, Plaine viticole;Littoral languedocien, plaine viticole;Plaine viticole;pra251;ra137;ram137;34471
34;Plateaux du Sommail et de l'Espinouze;Sommail, Espinouze, Larzac;Sommail, Espinouse, Larzac;Plateaux du Sommail et de l'Espinouze;pra252;ra134;ram134;34412
34;Soubergues;Soubergues;Soubergues;Soubergues;pra253;ra138;ram138;34415
35;Bretagne centrale;Bretagne centrale;Bretagne centrale;Bretagne centrale;pra254;ra139;ram139;35359
35;Marais de Dol;Polders et Marais nord;Polders et marais Nord;Marais de Dol;pra255;ra140;ram140;35099
35;Pays de Redon;Pays de Redon;Pays de Redon;Pays de Redon;pra256;ra141;ram141;35363
35;Polders du Mont-Saint-Michel;Polders et Marais nord;Polders et marais Nord;Polders du Mont-Saint-Michel;pra257;ra140;ram140;35098
35;Région centrale;Région centrale;Région centrale;Région centrale;pra258;ra142;ram142;35358
35;Région de Fougères;Région de Fougères;Région de Fougères;Région de Fougères;pra259;ra143;ram143;35097
35;Région de Saint-Malo;Région de Saint-Malo;Région de Saint-Malo;Région de Saint-Malo;pra260;ra144;ram144;35357
36;Boischaut du Nord;Boischaut du Nord;Boischaut du Nord;Boischaut du Nord;pra261;ra145;ram145;36435
36;Boischaut du Sud;Boischaut du Sud;Boischaut du Sud;Boischaut du Sud;pra262;ra146;ram146;36436
36;Brenne, Petite Brenne;Brenne, Petite Brenne;Brenne-Petite Brenne;Brenne-Petite Brenne;pra263;ra147;ram147;36438
36;Champagne berrichonne;Champagne berrichonne;Champagne berrichonne;Champagne berrichonne;pra264;ra148;ram148;36434
37;Bassin de Savigné;Bassin de Savigné, Gâtine tourangelle;Bassin de Savigne, Gâtine tourangelle;Bassin de Savigné;pra265;ra149;ram149;37074
37;Champeigne;Champeigne, Plateau de Mettray;Champeigne, plateau de Mettray;Champeigne;pra266;ra150;ram150;37070
37;Forêt d'Amboise;Val de Loire, Amboise, Région viticole de l’est de Tours;Val de Loire, Amboise, région viticole à l'est de Tours;Forêt d'Amboise;pra267;ra151;ram151;37072
37;Gâtine de Loches et de Montrésor;Gâtine de Loches et de Montrésor;Gâtine de Loches et de Montrésor;Gâtine de Loches et de Montrésor;pra268;ra152;ram152;37435
37;Gâtine tourangelle;Bassin de Savigné, Gâtine tourangelle;Bassin de Savigne, Gâtine tourangelle;Gâtine tourangelle;pra269;ra149;ram149;37346
37;Plateau de Mettray;Champeigne, Plateau de Mettray;Champeigne, plateau de Mettray;Plateau de Mettray;pra270;ra150;ram150;37073
37;Région de Sainte-Maure;Région de Sainte-Maure;Région de Sainte-Maure;Région de Sainte-Maure;pra271;ra153;ram153;37069
37;Région viticole de l’est de Tours;Val de Loire, Amboise, Région viticole de l’est de Tours;Val de Loire, Amboise, région viticole à l'est de Tours;Région viticole de l’est de Tours;pra272;ra151;ram151;37071
37;Richelais;Richelais;Richelais;Richelais;pra273;ra154;ram154;37348
37;Val de Loire;Val de Loire, Amboise, Région viticole de l’est de Tours;Val de Loire, Amboise, région viticole à l'est de Tours;Val de Loire;pra274;ra151;ram151;37344
38;Bas-Dauphiné;Bas-Dauphiné;Bas Dauphiné;Bas-Dauphiné;pra275;ra155;ram155;38199
